Unnamed: 0,INSTNM,CITY,STABBR,ZIP,CONTROL,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS,REGION,DEP_INC_PCT_H2,MD_INC_WDRAW_2YR_TRANS_YR4_RT,IND_COMP_4YR_TRANS_YR4_RT,SD_EARN_WNE_P10,FEMALE_WDRAW_4YR_TRANS_YR6_RT,LO_INC_COMP_2YR_TRANS_YR3_RT,NOLOAN_COMP_ORIG_YR4_RT,OPENADMP,PELL_COMP_4YR_TRANS_YR3_RT,DEATH_YR2_RT,NOLOAN_UNKN_ORIG_YR2_RT,NOT1STGEN_WDRAW_ORIG_YR6_RT,HI_INC_YR8_N,CUML_DEBT_P90,C100_L4
2704,Ohio Business College-Sheffield,Sheffield Village,OH,44035-0701,3,,,9000.0,9000.0,228.0,3,,,,,,,,1.0,,,,,,,0.3
2705,Ohio Business College-Sandusky,Sandusky,OH,44870-5871,3,,,9000.0,9000.0,212.0,3,,,,,,,,1.0,,,,,,,0.2692
2706,Lorain County Community College,Elyria,OH,44035-1691,1,,,3151.0,7376.0,7976.0,3,,,,,,,,1.0,,,,,,,0.0897
2707,Lourdes University,Sylvania,OH,43560-2898,2,0.9667,1059.0,21540.0,21540.0,1036.0,3,,,,,,,,2.0,,,,,,,
2708,Malone University,Canton,OH,44709-3308,2,0.6599,1082.0,29900.0,29900.0,1200.0,3,,,,,,,,2.0,,,,,,,
2709,Marietta College,Marietta,OH,45750,2,0.6703,1117.0,36040.0,36040.0,964.0,3,,,,,,,,2.0,,,,,,,
2710,Marion Technical College,Marion,OH,43302-5694,1,,,4480.0,6400.0,1340.0,3,,,,,,,,1.0,,,,,,,0.0388
2711,Medina County Career Center,Medina,OH,44256,1,,,,,71.0,3,,,,,,,,1.0,,,,,,,0.8654
2712,Mercy College of Ohio,Toledo,OH,43604-1132,2,0.5747,,14710.0,14710.0,1402.0,3,,,,,,,,2.0,,,,,,,
2713,Methodist Theological School in Ohio,Delaware,OH,43015-3211,2,,,,,,3,,,,,,,,,,,,,,,
2714,Miami University-Hamilton,Hamilton,OH,45011,1,,,5173.0,15228.0,2545.0,3,,,,,,,,1.0,,,,,,,
2715,Miami University-Middletown,Middletown,OH,45042,1,,,5173.0,15228.0,1519.0,3,,,,,,,,1.0,,,,,,,
2716,Miami University-Oxford,Oxford,OH,45056,1,0.682,1332.0,14958.0,34211.0,16816.0,3,,,,,,,,2.0,,,,,,,
2717,Miami-Jacobs Career College-Dayton,Dayton,OH,45402,3,,,10740.0,10740.0,11.0,3,,,,,,,,1.0,,,,,,,0.037
2718,Moler Hollywood Beauty Academy,Cincinnati,OH,45213,3,,,,,92.0,3,,,,,,,,1.0,,,,,,,0.0
2719,Miami Valley Career Technology Center,Englewood,OH,45315,1,,,,,293.0,3,,,,,,,,1.0,,,,,,,0.8162
2720,Mount Carmel College of Nursing,Columbus,OH,43222-1504,2,0.9932,1065.0,13442.0,13442.0,878.0,3,,,,,,,,2.0,,,,,,,
2721,University of Mount Union,Alliance,OH,44601-3993,2,0.8109,1121.0,29890.0,29890.0,2049.0,3,,,,,,,,2.0,,,,,,,
2722,Mount Vernon Nazarene University,Mount Vernon,OH,43050-9500,2,0.7674,1102.0,28090.0,28090.0,1623.0,3,,,,,,,,2.0,,,,,,,
2723,Mount Saint Joseph University,Cincinnati,OH,45233-1670,2,0.7325,1097.0,29100.0,29100.0,1177.0,3,,,,,,,,2.0,,,,,,,
2724,Zane State College,Zanesville,OH,43701-2626,1,,,4646.0,9206.0,1110.0,3,,,,,,,,1.0,,,,,,,0.25
2725,Muskingum University,New Concord,OH,43762,2,0.7439,1077.0,27646.0,27646.0,1525.0,3,,,,,,,,2.0,,,,,,,
2726,National Beauty College,Canton,OH,44709-1837,3,,,,,106.0,3,,,,,,,,1.0,,,,,,,0.1818
2727,North Central State College,Mansfield,OH,44901-0698,1,,,3591.0,7181.0,1798.0,3,,,,,,,,1.0,,,,,,,0.0622
2728,Northern Institute of Cosmetology,Lorain,OH,44052-1803,3,,,,,24.0,3,,,,,,,,1.0,,,,,,,0.3636
2729,Northwest State Community College,Archbold,OH,43502-9542,1,,,3858.0,7490.0,1250.0,3,,,,,,,,1.0,,,,,,,0.1758
2730,Toledo Public Schools Adult and Continuing Education,Toledo,OH,43613,1,0.8596,,,,110.0,3,,,,,,,,2.0,,,,,,,0.6694
2731,Notre Dame College,Cleveland,OH,44121-4293,2,0.8948,994.0,29300.0,29300.0,1500.0,3,,,,,,,,2.0,,,,,,,
2732,Northeast Ohio Medical University,Rootstown,OH,44272-0095,1,,,,,,3,,,,,,,,,,,,,,,
2733,University of Northwestern Ohio,Lima,OH,45805,2,,,11050.0,11050.0,3625.0,3,,,,,,,,1.0,,,,,,,
2734,Oberlin College,Oberlin,OH,44074,2,0.3372,1388.0,53460.0,53460.0,2827.0,3,,,,,,,,2.0,,,,,,,
2735,Ohio Technical College,Cleveland,OH,44103,3,,,,,883.0,3,,,,,,,,1.0,,,,,,,0.7298
2736,Ohio Dominican University,Columbus,OH,43219,2,0.7716,1086.0,31080.0,31080.0,1077.0,3,,,,,,,,2.0,,,,,,,
2737,Brightwood College-Dayton,Dayton,OH,45439,3,,,,,276.0,3,,,,,,,,1.0,,,,,,,0.2625
2738,Ohio Northern University,Ada,OH,45810-1599,2,0.661,1215.0,30990.0,30990.0,2111.0,3,,,,,,,,2.0,,,,,,,
2739,Ohio State University Agricultural Technical Institute,Wooster,OH,44691-4000,1,,,7203.0,26307.0,672.0,3,,,,,,,,1.0,,,,,,,0.2082
2740,Ohio State University-Lima Campus,Lima,OH,45804,1,,,7140.0,26244.0,927.0,3,,,,,,,,1.0,,,,,,,
2741,Ohio State University-Mansfield Campus,Mansfield,OH,44906,1,,,7140.0,26244.0,962.0,3,,,,,,,,1.0,,,,,,,
2742,Ohio State University-Marion Campus,Marion,OH,43302-5695,1,,,7140.0,26244.0,1097.0,3,,,,,,,,1.0,,,,,,,
2743,Ohio State University-Newark Campus,Newark,OH,43055,1,,,7140.0,26244.0,2518.0,3,,,,,,,,1.0,,,,,,,
2744,Ohio State Beauty Academy,Lima,OH,45807,3,,,,,115.0,3,,,,,,,,1.0,,,,,,,0.3214
2745,Ohio State College of Barber Styling,Columbus,OH,43213,3,,,,,223.0,3,,,,,,,,1.0,,,,,,,0.7041
2746,The Spa School,Columbus,OH,43214,3,,,,,107.0,3,,,,,,,,1.0,,,,,,,0.4
2747,Ohio State School of Cosmetology-Canal Winchester,CANAL WINCHESTER,OH,43110,3,,,,,102.0,3,,,,,,,,1.0,,,,,,,0.1972
2748,Ohio State University-Main Campus,Columbus,OH,43210,1,0.4806,1359.0,10592.0,29696.0,44853.0,3,,,,,,,,2.0,,,,,,,
2749,Ohio University-Eastern Campus,Saint Clairsville,OH,43950,1,,,4806.0,6718.0,472.0,3,,,,,,,,1.0,,,,,,,
2750,Ohio University-Chillicothe Campus,Chillicothe,OH,45601-0629,1,,,5060.0,9596.0,1530.0,3,,,,,,,,1.0,,,,,,,
2751,Ohio University-Southern Campus,Ironton,OH,45638,1,,,4806.0,6718.0,1199.0,3,,,,,,,,1.0,,,,,,,
2752,Ohio University-Lancaster Campus,Lancaster,OH,43130-1037,1,,,5060.0,9596.0,1422.0,3,,,,,,,,1.0,,,,,,,
2753,Ohio University-Main Campus,Athens,OH,45701-2979,1,0.7393,1183.0,11896.0,21360.0,22936.0,3,,,,,,,,2.0,,,,,,,
2754,Ohio University-Zanesville Campus,Zanesville,OH,43701,1,,,5060.0,9596.0,1064.0,3,,,,,,,,1.0,,,,,,,
2755,Ohio Valley College of Technology,East Liverpool,OH,43920-9585,3,,,12729.0,12729.0,162.0,3,,,,,,,,1.0,,,,,,,0.5667
2756,Trinity Health System School of Nursing,Steubenville,OH,43952-3512,2,0.8462,,8809.0,9673.0,86.0,3,,,,,,,,2.0,,,,,,,1.0
2757,Ohio Wesleyan University,Delaware,OH,43015-2370,2,0.7139,,44690.0,44690.0,1549.0,3,,,,,,,,2.0,,,,,,,
2758,Otterbein University,Westerville,OH,43081,2,0.764,1179.0,31874.0,31874.0,2367.0,3,,,,,,,,2.0,,,,,,,
2759,Owens Community College,Perrysburg,OH,43551,1,,,4682.0,8344.0,6348.0,3,,,,,,,,1.0,,,,,,,0.1011
2760,Paramount Beauty Academy,Portsmouth,OH,45662-4527,3,,,,,39.0,3,,,,,,,,1.0,,,,,,,0.4943
2761,Cuyahoga Valley Career Center,Brecksville,OH,44141-1296,1,,,,,119.0,3,,,,,,,,1.0,,,,,,,0.5476
2762,Payne Theological Seminary,Wilberforce,OH,45384,2,,,,,,3,,,,,,,,,,,,,,,
2763,Pontifical College Josephinum,Columbus,OH,43235-1499,2,0.9286,,22092.0,22092.0,90.0,3,,,,,,,,2.0,,,,,,,
2764,Professional Skills Institute,Maumee,OH,43537,3,0.8396,,15391.0,15391.0,415.0,3,,,,,,,,2.0,,,,,,,0.3548
2765,Firelands Regional Medical Center School of Nursing,Sandusky,OH,44870-4788,2,,,,,49.0,3,,,,,,,,,,,,,,,
2766,Rabbinical College Telshe,Wickliffe,OH,44092,2,0.9444,,10800.0,10800.0,37.0,3,,,,,,,,2.0,,,,,,,
2767,Raphael's School of Beauty Culture Inc-Niles,Niles,OH,44446,3,,,,,135.0,3,,,,,,,,1.0,,,,,,,0.381
2768,Fortis College-Centerville,Centerville,OH,45459-2712,3,,,14602.0,14602.0,690.0,3,,,,,,,,1.0,,,,,,,0.1216
2769,University of Rio Grande,Rio Grande,OH,45674,2,,,26175.0,26175.0,935.0,3,,,,,,,,1.0,,,,,,,
2770,Advertising Art Educational Services DBA School of Advertising Art,Kettering,OH,45440,3,0.4936,,27194.0,27194.0,211.0,3,,,,,,,,2.0,,,,,,,0.6406
2771,Shawnee State University,Portsmouth,OH,45662,1,0.6891,1068.0,7439.0,13247.0,3099.0,3,,,,,,,,2.0,,,,,,,
2772,Sinclair Community College,Dayton,OH,45402-1460,1,,,2546.0,6938.0,14902.0,3,,,,,,,,1.0,,,,,,,0.1992
2773,Hussian College-Daymar College Columbus,Columbus,OH,43232,3,,,15000.0,15000.0,203.0,3,,,,,,,,1.0,,,,,,,0.4
2774,Stark State College,North Canton,OH,44720,1,,,3686.0,6794.0,7778.0,3,,,,,,,,1.0,,,,,,,0.0746
2775,Stautzenberger College-Maumee,Maumee,OH,43537-4007,3,,,12762.0,12762.0,624.0,3,,,,,,,,1.0,,,,,,,0.2
2776,Franciscan University of Steubenville,Steubenville,OH,43952-1763,2,0.8318,1209.0,26430.0,26430.0,2071.0,3,,,,,,,,2.0,,,,,,,
2777,Southern State Community College,Hillsboro,OH,45133-9406,1,,,4412.0,8118.0,1428.0,3,,,,,,,,1.0,,,,,,,0.0921
2778,Terra State Community College,Fremont,OH,43420-9670,1,,,4352.0,8636.0,1341.0,3,,,,,,,,1.0,,,,,,,0.0633
2779,Tiffin Academy of Hair Design,Tiffin,OH,44883,3,,,,,34.0,3,,,,,,,,1.0,,,,,,,0.5952
2780,Tiffin University,Tiffin,OH,44883,2,0.6883,,24000.0,24000.0,2095.0,3,,,,,,,,2.0,,,,,,,
2781,University of Toledo,Toledo,OH,43606-3390,1,0.9435,1142.0,9547.0,18885.0,15109.0,3,,,,,,,,2.0,,,,,,,
2782,Tri-State Bible College,South Point,OH,45680,2,,,9100.0,9100.0,33.0,3,,,,,,,,1.0,,,,,,,
2783,Tri-County Adult Career Center,Nelsonville,OH,45764,1,,,,,67.0,3,,,,,,,,1.0,,,,,,,0.6301
2784,Tri-Rivers Career Center,Marion,OH,43302-8914,1,,,,,182.0,3,,,,,,,,1.0,,,,,,,0.75
2785,Trinity Lutheran Seminary,Columbus,OH,43209-2334,2,,,,,,3,,,,,,,,,,,,,,,
2786,Union Institute & University,Cincinnati,OH,45206-1925,2,,,12896.0,12896.0,813.0,3,,,,,,,,1.0,,,,,,,
2787,United Theological Seminary,Dayton,OH,45426-2308,2,,,,,,3,,,,,,,,,,,,,,,
2788,Upper Valley Career Center,Piqua,OH,45356,1,,,,,70.0,3,,,,,,,,1.0,,,,,,,0.6535
2789,Urbana University,Urbana,OH,43078-2091,2,0.7105,1025.0,22452.0,22452.0,548.0,3,,,,,,,,2.0,,,,,,,
2790,Ursuline College,Pepper Pike,OH,44124,2,0.9333,1068.0,31150.0,31150.0,607.0,3,,,,,,,,2.0,,,,,,,
2791,The North Coast College,Lakewood,OH,44107,3,0.875,,20439.0,20439.0,133.0,3,,,,,,,,2.0,,,,,,,
2792,Walsh University,North Canton,OH,44720-3396,2,0.7923,1140.0,29150.0,29150.0,1929.0,3,,,,,,,,2.0,,,,,,,
2793,Washington State Community College,Marietta,OH,45750,1,,,3978.0,7314.0,946.0,3,,,,,,,,1.0,,,,,,,0.1378
2794,Wilberforce University,Wilberforce,OH,45384-1001,2,0.4829,872.0,13250.0,13250.0,593.0,3,,,,,,,,2.0,,,,,,,
2795,Wilmington College,Wilmington,OH,45177,2,0.8415,1086.0,25000.0,25000.0,1167.0,3,,,,,,,,2.0,,,,,,,
